Emotion,Appraisal,k,r,interpretation,prediction,ref
shame,challenge,2,-0.29***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the shame.",No prediction & Significant,
shame,harm,1,0.33***,"The greater the perceived harm, the greater the shame.",No prediction & Significant,
shame,difficulty,1,0.47***,"The greater the perceived difficulty, the greater the shame.",No prediction & Significant,
shame,intentionality,1,0.31**,"The greater the perceived intentionality of the cause of the event either by oneself or others, the greater the shame.",No prediction & Significant,
shame,control-other,1,-0.03,,No prediction & Not Significant,
shame,emotion-focused coping potential,1,-0.057,,No prediction & Not Significant,
shame,uniqueness,1,-0.04,,No prediction & Not Significant,
shame,effort,1,0.04,,No prediction & Not Significant,
shame,globality,1,-0.08,,No prediction & Not Significant,
shame,temporal distance,1,0,,No prediction & Not Significant,
admiration,attainability,3,0.031,,No prediction & Not Significant,
admiration,desire for object,3,0.12***,"The greater the desire for something another person has, the greater the admiration.",No prediction & Significant,
admiration,fairness,3,0.23**,"The greater the perceived fairness of the situation, the greater the admiration.",Predicted & Supported,
admiration,closeness,3,0.16***,"The greater the perception of closeness of the relationship to another person, the greater the admiration.",No prediction & Significant,
admiration,liking,2,0.37***,"The greater the liking for another person, the greater the admiration.",No prediction & Significant,
admiration,pleasantness,1,0.42***,"The greater the perceived pleasantness of the situation, the greater the admiration.",Predicted & Supported,
affection,goal conduciveness,3,0.37**,"The greater the consistency of the situation with one's goals, the greater the affection.",Predicted & Supported,
affection,pleasantness,2,0.57***,"The greater the perceived pleasantness of the situation, the greater the affection.",Predicted & Supported,
affection,control-self,2,0.23***,"The greater the perceived control over the situation, the greater the affection.",No prediction & Significant,
affection,future predictability,2,0.12*,"The greater the ability to predict what is going to occur in the future, the greater the affection.",No prediction & Significant,
affection,threat,1,-0.61***,"The greater the perceived imminent threat in the situation, the less the affection.",No prediction & Significant,
affection,harm,1,-0.66***,"The greater the perceived harm, the less the affection.",No prediction & Significant,
affection,goal relevance,1,0.59***,"The greater the perceived relevance of the situation to one's goals, the greater the affection.",Predicted & Supported,
affection,accountability-circumstances,1,0.01,,No prediction & Not Significant,
affection,accountability-other,1,0.2**,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the affection.",Predicted & Supported,
affection,accountability-self,1,0.32***,"The greater the perceived personal responsibility of the cause of the situation, the greater the affection.",No prediction & Significant,
affection,effort,1,-0.14,,Predicted & Not Significant,
affection,fairness,1,0.43***,"The greater the perceived fairness of the situation, the greater the affection.",No prediction & Significant,
affection,normative significance (internal),1,0.6***,"The greater the consistency of the situation with one's ideals, the greater the affection.",No prediction & Significant,
amusement,accountability-self,2,-0.03,,No prediction & Not Significant,
amusement,pleasantness,1,0.32***,"The greater the perceived pleasantness of the situation, the greater the amusement.",Predicted & Supported,
amusement,perceived obstacle,1,-0.06,,Predicted & Not Significant,
amusement,accountability-circumstances,1,0.001,,No prediction & Not Significant,
amusement,accountability-other,1,0.06,,Predicted & Not Significant,
amusement,control-circumstances,1,-0.001,,No prediction & Not Significant,
amusement,control-other,1,0.05,,No prediction & Not Significant,
amusement,control-self,1,0.08,,No prediction & Not Significant,
amusement,attentional activity,1,0.1*,"The greater the perceived need to take time/effort to attend to the situation further, the greater the amusement.",No prediction & Significant,
amusement,certainty,1,0.15**,"The greater the understanding of the situation, the greater the amusement.",Predicted & Supported,
amusement,future predictability,1,0.08,,No prediction & Not Significant,
amusement,effort,1,-0.08,,No prediction & Not Significant,
amusement,normative significance (internal),1,0.06,,Predicted & Not Significant,
apathy,pleasantness,1,-0.23*,"The greater the perceived pleasantness of the situation, the less the apathy.",No prediction & Significant,
apathy,goal relevance,1,-0.19,,No prediction & Not Significant,
apathy,difficulty,1,-0.03,,No prediction & Not Significant,
apathy,perceived obstacle,1,0.02,,No prediction & Not Significant,
apathy,accountability-other,1,0.32**,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the apathy.",No prediction & Significant,
apathy,attentional activity,1,-0.36***,"The greater the perceived need to take time/effort to attend to the situation further, the less the apathy.",No prediction & Significant,
apathy,certainty,1,-0.03,,No prediction & Not Significant,
apathy,effort,1,-0.22*,"The greater the need to exert effort to deal with the situation, the less the apathy.",No prediction & Significant,
apathy,fairness,1,-0.05,,No prediction & Not Significant,
awe,pleasantness,3,0.33***,"The greater the perceived pleasantness of the situation, the greater the awe.",Predicted & Supported,
awe,control-circumstances,2,0.34,,No prediction & Not Significant,
awe,control-other,2,0.14,,No prediction & Not Significant,
awe,control-self,2,-0.31,,No prediction & Not Significant,
awe,remarkable,2,0.5***,"The greater the feeling that it was remarkable to have gotten this outcome, the greater the awe.",Predicted & Supported,"Keltner, D., & Haidt, J. (2003). Approaching awe, a moral, spiritual, and aesthetic emotion.ÊCognition and emotion,Ê17(2), 297-314."
awe,certainty,2,-0.1,,No prediction & Not Significant,
awe,threat,1,-0.12,,No prediction & Not Significant,
awe,loss,1,-0.09**,"The greater the perception that something irretrievable has been lost, the less the awe.",No prediction & Significant,
awe,perceived obstacle,1,0.02,,No prediction & Not Significant,
awe,accountability-circumstances,1,0.05,,Predicted & Not Significant,
awe,accountability-other,1,0.06,,Predicted & Not Significant,
awe,accountability-self,1,0.07,,Predicted & Not Significant,
awe,uniqueness,1,0.16***,"The greater the perception of how unique the situation was, the greater the awe.",No prediction & Significant,
awe,attentional activity,1,0.06,,Predicted & Not Significant,
awe,future predictability,1,0.03,,No prediction & Not Significant,
awe,effort,1,0.01,,No prediction & Not Significant,
awe,normative significance (internal),1,0.04,,No prediction & Not Significant,
awe,temporal distance,1,-0.16***,"The greater the perceived temporal distance to a remembered past situation, the less the awe.",No prediction & Significant,
awe,vastness,1,0.36***,"The greater the perception that something is much grander than oneself, the greater the awe.",Predicted & Supported,"Keltner, D., & Haidt, J. (2003). Approaching awe, a moral, spiritual, and aesthetic emotion.ÊCognition and emotion,Ê17(2), 297-314."
bitter,accountability-other,3,0.14*,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the bitter.",No prediction & Significant,
bitter,accountability-circumstances,2,-0.11,,No prediction & Not Significant,
bitter,accountability-self,2,-0.12,,No prediction & Not Significant,
bitter,control-other,2,0.07,,No prediction & Not Significant,
bitter,pleasantness,1,-0.36***,"The greater the perceived pleasantness of the situation, the less the bitter.",No prediction & Significant,
bitter,loss,1,0.5***,"The greater the perception that something irretrievable has been lost, the greater the bitter.",No prediction & Significant,
bitter,uniqueness,1,0,,No prediction & Not Significant,
bitter,temporal distance,1,-0.07*,"The greater the perceived temporal distance to a remembered past situation, the less the bitter.",No prediction & Significant,
challenge,attentional activity,4,0.21***,"The greater the perceived need to take time/effort to attend to the situation further, the greater the challenge.",Predicted & Supported,
challenge,certainty,4,0.12,,No prediction & Not Significant,
challenge,pleasantness,3,0.17,,Predicted & Not Significant,
challenge,goal relevance,3,0.26***,"The greater the perceived relevance of the situation to one's goals, the greater the challenge.",Predicted & Supported,
challenge,accountability-other,3,-0.04,,No prediction & Not Significant,
challenge,accountability-self,3,0.015,,Predicted & Not Significant,
challenge,effort,3,0.29***,"The greater the need to exert effort to deal with the situation, the greater the challenge.",Predicted & Supported,
challenge,goal conduciveness,2,0.053,,Predicted & Not Significant,
challenge,perceived obstacle,2,0.11,,No prediction & Not Significant,
challenge,control-circumstances,2,-0.0032,,No prediction & Not Significant,
challenge,future expectancy,2,0.088,,Predicted & Not Significant,
challenge,threat,1,0.13,,No prediction & Not Significant,
challenge,harm,1,0.05,,No prediction & Not Significant,
challenge,difficulty,1,-0.01,,No prediction & Not Significant,
challenge,accountability-circumstances,1,0.11*,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the challenge.",No prediction & Significant,
challenge,control-other,1,0.07,,No prediction & Not Significant,
challenge,control-self,1,0.04,,Predicted & Not Significant,
challenge,emotion-focused coping potential,1,0.061,,No prediction & Not Significant,
challenge,problem-focused coping potential,1,0.25**,"The greater the perceived ability to cope and adapt to the situation, the greater the challenge.",Predicted & Supported,
challenge,future predictability,1,-0.05,,No prediction & Not Significant,
challenge,fairness,1,0.28*,"The greater the perceived fairness of the situation, the greater the challenge.",No prediction & Significant,
challenge,normative significance (internal),1,0.05,,No prediction & Not Significant,
challenge,concern for others,1,0.17,,No prediction & Not Significant,
comfortable,pleasantness,1,0.53***,"The greater the perceived pleasantness of the situation, the greater the comfortable.",No prediction & Significant,
compassion,accountability-other,4,-0.097,,Predicted & Not Significant,
compassion,control-other,2,-0.042,,No prediction & Not Significant,
compassion,fairness,2,-0.084,,No prediction & Not Significant,
compassion,normative significance (internal),2,-0.36***,"The greater the consistency of the situation with one's ideals, the less the compassion.",Predicted & Supported,
compassion,goal relevance,1,0.18*,"The greater the perceived relevance of the situation to one's goals, the greater the compassion.",No prediction & Significant,
confident,accountability-self,4,0.29,,Predicted & Not Significant,
confident,accountability-other,3,-0.01,,No prediction & Not Significant,
confident,threat,2,0.024,,No prediction & Not Significant,
confident,accountability-circumstances,2,-0.11,,No prediction & Not Significant,
confident,pleasantness,1,0.67***,"The greater the perceived pleasantness of the situation, the greater the confidence.",Predicted & Supported,
confident,harm,1,0.04,,No prediction & Not Significant,
confident,goal conduciveness,1,0.37***,"The greater the consistency of the situation with one's goals, the greater the confidence.",No prediction & Significant,
confident,attentional activity,1,0.23,,No prediction & Not Significant,
confident,certainty,1,0.3**,"The greater the understanding of the situation, the greater the confidence.",Predicted & Supported,
confident,normative significance (external),1,0.32*,"The greater the consistency of the situation with external and social norms, the greater the confidence.",No prediction & Significant,
confident,challenge,1,0.24**,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the confidence.",Predicted & Supported,
confusion,accountability-self,1,0.4**,"The greater the perceived personal responsibility of the cause of the situation, the greater the confusion.",No prediction & Significant,
confusion,control-self,1,-0.34***,"The greater the perceived control over the situation, the less the confusion.",Predicted & Supported,
contempt,pleasantness,2,-0.47***,"The greater the perceived pleasantness of the situation, the less the contempt.",Predicted & Supported,
contempt,loss,2,0.29***,"The greater the perception that something irretrievable has been lost, the greater the contempt.",No prediction & Significant,
contempt,goal conduciveness,2,-0.17,,No prediction & Not Significant,
contempt,uniqueness,2,-0.00095,,No prediction & Not Significant,
contempt,threat,1,0.4***,"The greater the perceived imminent threat in the situation, the greater the contempt.",No prediction & Significant,
contempt,harm,1,0.38***,"The greater the perceived harm, the greater the contempt.",No prediction & Significant,
contempt,goal relevance,1,0.09,,No prediction & Not Significant,
contempt,accountability-other,1,0.24***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the contempt.",Predicted & Supported,
contempt,accountability-self,1,0.04,,No prediction & Not Significant,
contempt,challenge,1,-0.38***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the contempt.",No prediction & Significant,
contempt,temporal distance,1,0,,No prediction & Not Significant,
contentment,accountability-circumstances,4,-0.017,,No prediction & Not Significant,
contentment,accountability-other,4,0.036,,No prediction & Not Significant,
contentment,accountability-self,4,0.29***,"The greater the perceived personal responsibility of the cause of the situation, the greater the contentment.",Predicted & Supported,
contentment,control-self,4,0.27***,"The greater the perceived control over the situation, the greater the contentment.",Predicted & Supported,
contentment,pleasantness,3,0.36,,Predicted & Not Significant,
contentment,loss,1,-0.35***,"The greater the perception that something irretrievable has been lost, the less the contentment.",No prediction & Significant,
contentment,value,1,0.17***,"The greater the perceived value of the situation to one's goals and desires, the greater the contentment.",Predicted & Supported,
contentment,perceived obstacle,1,-0.11*,"The greater the perception that an obstacle hampers the attainment of a desired goal, the less the contentment.",Predicted & Supported,
contentment,control-circumstances,1,-0.06,,No prediction & Not Significant,
contentment,control-other,1,-0.03,,No prediction & Not Significant,
contentment,uniqueness,1,0.08**,"The greater the perception of how unique the situation was, the greater the contentment.",No prediction & Significant,
contentment,attentional activity,1,0.16**,"The greater the perceived need to take time/effort to attend to the situation further, the greater the contentment.",No prediction & Significant,
contentment,certainty,1,0.25***,"The greater the understanding of the situation, the greater the contentment.",Predicted & Supported,
contentment,future predictability,1,0.2***,"The greater the ability to predict what is going to occur in the future, the greater the contentment.",No prediction & Significant,
contentment,effort,1,-0.12*,"The greater the need to exert effort to deal with the situation, the less the contentment.",Predicted & Supported,
contentment,normative significance (internal),1,0.22***,"The greater the consistency of the situation with one's ideals, the greater the contentment.",Predicted & Supported,
contentment,temporal distance,1,-0.07*,"The greater the perceived temporal distance to a remembered past situation, the less the contentment.",No prediction & Significant,
curious,threat,1,0.05,,No prediction & Not Significant,
curious,harm,1,0.01,,No prediction & Not Significant,
curious,goal conduciveness,1,0.01,,No prediction & Not Significant,
curious,goal relevance,1,0.37**,"The greater the perceived relevance of the situation to one's goals, the greater the curiosity.",No prediction & Significant,
curious,accountability-self,1,-0.01,,No prediction & Not Significant,
curious,control-self,1,0.6***,"The greater the perceived control over the situation, the greater the curiosity.",No prediction & Significant,
curious,future expectancy,1,0.01,,No prediction & Not Significant,
curious,attentional activity,1,0.23,,No prediction & Not Significant,
curious,concern for others,1,-0.15,,No prediction & Not Significant,
disappointment,uniqueness,2,-0.012,,No prediction & Not Significant,
disappointment,pleasantness,1,-0.4***,"The greater the perceived pleasantness of the situation, the less the disappointment.",No prediction & Significant,
disappointment,loss,1,0.44***,"The greater the perception that something irretrievable has been lost, the greater the disappointment.",No prediction & Significant,
disappointment,goal conduciveness,1,-0.3*,"The greater the consistency of the situation with one's goals, the less the disappointment.",Predicted & Supported,
disappointment,accountability-other,1,0.34,,Predicted & Not Significant,
disappointment,control-self,1,0.15,,No prediction & Not Significant,
disappointment,modifiability,1,-0.13,,No prediction & Not Significant,
disappointment,novelty,1,0.44,,No prediction & Not Significant,
disappointment,expectedness,1,-0.18,,Predicted & Not Significant,
disappointment,certainty,1,0.02,,No prediction & Not Significant,
disappointment,future predictability,1,-0.19,,Predicted & Not Significant,
disappointment,effort,1,0.28,,No prediction & Not Significant,
disappointment,concern for others,1,0.41,,No prediction & Not Significant,
disappointment,reality,1,-0.35,,No prediction & Not Significant,
disappointment,self-esteem decreased,1,0.08,,No prediction & Not Significant,
disappointment,temporal distance,1,0,,No prediction & Not Significant,
disgust,threat,5,0.45***,"The greater the perceived imminent threat in the situation, the greater the disgust.",Predicted & Supported,
disgust,pleasantness,3,-0.2***,"The greater the perceived pleasantness of the situation, the less the disgust.",Predicted & Supported,
disgust,goal conduciveness,3,0.15*,"The greater the consistency of the situation with one's goals, the greater the disgust.",No prediction & Significant,
disgust,goal relevance,3,0.34**,"The greater the perceived relevance of the situation to one's goals, the greater the disgust.",No prediction & Significant,
disgust,loss,2,0.044,,No prediction & Not Significant,
disgust,uniqueness,2,-0.088**,"The greater the perception of how unique the situation was, the less the disgust.",No prediction & Significant,
disgust,future expectancy,2,0.2,,No prediction & Not Significant,
disgust,fairness,2,-0.19*,"The greater the perceived fairness of the situation, the less the disgust.",No prediction & Significant,
disgust,harm,1,0.39***,"The greater the perceived harm, the greater the disgust.",No prediction & Significant,
disgust,accountability-other,1,0.39***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the disgust.",Predicted & Supported,
disgust,accountability-self,1,-0.1,,No prediction & Not Significant,
disgust,control-other,1,0.18**,"The greater the perception that other people/objects have control over the situation, the greater the disgust.",No prediction & Significant,
disgust,emotion-focused coping potential,1,0.03,,No prediction & Not Significant,
disgust,problem-focused coping potential,1,-0.06,,No prediction & Not Significant,
disgust,expectedness,1,0.11***,"The greater the expectation of the occurrence of the situation, the greater the disgust.",No prediction & Significant,
disgust,attentional activity,1,0.23***,"The greater the perceived need to take time/effort to attend to the situation further, the greater the disgust.",No prediction & Significant,
disgust,normative significance (external),1,-0.38***,"The greater the consistency of the situation with external and social norms, the less the disgust.",No prediction & Significant,
disgust,normative significance (internal),1,0.09***,"The greater the consistency of the situation with one's ideals, the greater the disgust.",No prediction & Significant,
disgust,challenge,1,-0.32***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the disgust.",No prediction & Significant,
disgust,temporal distance,1,0.04,,No prediction & Not Significant,
distrust,pleasantness,1,-0.58***,"The greater the perceived pleasantness of the situation, the less the distrust.",No prediction & Significant,
distrust,threat,1,0.6***,"The greater the perceived imminent threat in the situation, the greater the distrust.",No prediction & Significant,
distrust,harm,1,0.6***,"The greater the perceived harm, the greater the distrust.",No prediction & Significant,
embarrassment,accountability-self,2,0.47***,"The greater the perceived personal responsibility of the cause of the situation, the greater the embarrassment.",Predicted & Supported,
embarrassment,pleasantness,1,-0.26***,"The greater the perceived pleasantness of the situation, the less the embarrassment.",No prediction & Significant,
embarrassment,threat,1,0.32**,"The greater the perceived imminent threat in the situation, the greater the embarrassment.",No prediction & Significant,
embarrassment,loss,1,0.16***,"The greater the perception that something irretrievable has been lost, the greater the embarrassment.",No prediction & Significant,
embarrassment,harm,1,0.23,,No prediction & Not Significant,
embarrassment,goal conduciveness,1,-0.05,,No prediction & Not Significant,
embarrassment,goal relevance,1,-0.02,,No prediction & Not Significant,
embarrassment,accountability-other,1,-0.23**,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the less the embarrassment.",No prediction & Significant,
embarrassment,uniqueness,1,-0.08**,"The greater the perception of how unique the situation was, the less the embarrassment.",No prediction & Significant,
embarrassment,future expectancy,1,-0.13,,No prediction & Not Significant,
embarrassment,attentional activity,1,0.18,,No prediction & Not Significant,
embarrassment,concern for others,1,0.03,,No prediction & Not Significant,
embarrassment,temporal distance,1,0.04,,No prediction & Not Significant,
empathy,pleasantness,1,-0.15***,"The greater the perceived pleasantness of the situation, the less the empathy.",No prediction & Significant,
empathy,threat,1,-0.08,,No prediction & Not Significant,
empathy,loss,1,0.16***,"The greater the perception that something irretrievable has been lost, the greater the empathy.",No prediction & Significant,
empathy,harm,1,0.18,,No prediction & Not Significant,
empathy,goal conduciveness,1,0.07,,No prediction & Not Significant,
empathy,goal relevance,1,0.16,,No prediction & Not Significant,
empathy,accountability-self,1,0.08,,No prediction & Not Significant,
empathy,control-other,1,-0.39***,"The greater the perception that other people/objects have control over the situation, the less the empathy.",No prediction & Significant,
empathy,uniqueness,1,0.04,,No prediction & Not Significant,
empathy,future expectancy,1,0.08,,No prediction & Not Significant,
empathy,attentional activity,1,0.24,,No prediction & Not Significant,
empathy,concern for others,1,0.32**,"The greater the concern for others' well-being in the situation, the greater the empathy.",Predicted & Supported,
empathy,temporal distance,1,-0.11***,"The greater the perceived temporal distance to a remembered past situation, the less the empathy.",No prediction & Significant,
enthusiasm,pleasantness,1,0.67***,"The greater the perceived pleasantness of the situation, the greater the enthusiasm.",Predicted & Supported,
enthusiasm,loss,1,-0.22***,"The greater the perception that something irretrievable has been lost, the less the enthusiasm.",No prediction & Significant,
enthusiasm,uniqueness,1,0.06*,"The greater the perception of how unique the situation was, the greater the enthusiasm.",No prediction & Significant,
enthusiasm,temporal distance,1,-0.17***,"The greater the perceived temporal distance to a remembered past situation, the less the enthusiasm.",No prediction & Significant,
envy,fairness,6,0.0013,,Predicted & Not Significant,
envy,attainability,3,0.061*,"The greater the perception that one could obtain what one desires, the greater the envy.",No prediction & Significant,
envy,desire for object,3,0.063*,"The greater the desire for something another person has, the greater the envy.",Predicted & Supported,
envy,closeness,3,0.1*,"The greater the perception of closeness of the relationship to another person, the greater the envy.",No prediction & Significant,
envy,liking,2,0.036,,No prediction & Not Significant,
envy,control-self,1,0.4***,"The greater the perceived control over the situation, the greater the envy.",Predicted & Supported,
excitement,threat,4,-0.19**,"The greater the perceived imminent threat in the situation, the less the excitement.",No prediction & Significant,
excitement,challenge,4,0.39***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the excitement.",Predicted & Supported,
excitement,control-self,3,0.43***,"The greater the perceived control over the situation, the greater the excitement.",Predicted & Supported,
excitement,value,2,0.44**,"The greater the perceived value of the situation to one's goals and desires, the greater the excitement.",No prediction & Significant,
excitement,problem-focused coping potential,2,0.24***,"The greater the perceived ability to cope and adapt to the situation, the greater the excitement.",No prediction & Significant,
excitement,novelty,1,-0.56***,"The greater the perceived novelty in the situation, the less the excitement.",No prediction & Significant,
frustration,goal conduciveness,5,-0.3***,"The greater the consistency of the situation with one's goals, the less the frustration.",Predicted & Supported,
frustration,control-self,4,-0.11,,Predicted & Not Significant,
frustration,fairness,3,-0.53***,"The greater the perceived fairness of the situation, the less the frustration.",No prediction & Significant,
frustration,threat,2,0.34***,"The greater the perceived imminent threat in the situation, the greater the frustration.",No prediction & Significant,
frustration,value,2,0.036,,No prediction & Not Significant,
frustration,harm,1,0.42***,"The greater the perceived harm, the greater the frustration.",No prediction & Significant,
frustration,goal relevance,1,0.14**,"The greater the perceived relevance of the situation to one's goals, the greater the frustration.",No prediction & Significant,
frustration,accountability-other,1,0.06,,No prediction & Not Significant,
frustration,accountability-self,1,0.36**,"The greater the perceived personal responsibility of the cause of the situation, the greater the frustration.",No prediction & Significant,
frustration,problem-focused coping potential,1,-0.45***,"The greater the perceived ability to cope and adapt to the situation, the less the frustration.",Predicted & Supported,
frustration,future predictability,1,-0.24***,"The greater the ability to predict what is going to occur in the future, the less the frustration.",No prediction & Significant,
frustration,challenge,1,-0.26***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the frustration.",No prediction & Significant,
gladness,future expectancy,4,0.34***,"The greater the expectation that the situation will get better, the greater the gladness.",Predicted & Supported,
gladness,goal conduciveness,2,0.34***,"The greater the consistency of the situation with one's goals, the greater the gladness.",Predicted & Supported,
gladness,goal relevance,2,0.34***,"The greater the perceived relevance of the situation to one's goals, the greater the gladness.",Predicted & Supported,
gladness,problem-focused coping potential,2,0.12,,No prediction & Not Significant,
gratitude,accountability-self,10,0.18***,"The greater the perceived personal responsibility of the cause of the situation, the greater the gratitude.",No prediction & Significant,
gratitude,accountability-other,8,0.26**,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the gratitude.",Predicted & Supported,
gratitude,goal conduciveness,5,0.43***,"The greater the consistency of the situation with one's goals, the greater the gratitude.",Predicted & Supported,
gratitude,accountability-circumstances,5,0.041,,No prediction & Not Significant,
gratitude,pleasantness,3,0.26,,Predicted & Not Significant,
gratitude,problem-focused coping potential,3,0.21***,"The greater the perceived ability to cope and adapt to the situation, the greater the gratitude.",No prediction & Significant,
gratitude,certainty,3,0.2***,"The greater the understanding of the situation, the greater the gratitude.",No prediction & Significant,
gratitude,goal relevance,2,0.15*,"The greater the perceived relevance of the situation to one's goals, the greater the gratitude.",Predicted & Supported,
gratitude,value,2,0.37***,"The greater the perceived value of the situation to one's goals and desires, the greater the gratitude.",Predicted & Supported,"Watkins, P. C. (2013).ÊGratitude and the good life: Toward a psychology of appreciation. Springer Science & Business Media."
gratitude,fairness,2,0.28***,"The greater the perceived fairness of the situation, the greater the gratitude.",No prediction & Significant,
gratitude,loss,1,-0.19***,"The greater the perception that something irretrievable has been lost, the less the gratitude.",No prediction & Significant,
gratitude,harm,1,-0.11,,No prediction & Not Significant,
gratitude,perceived obstacle,1,0.01,,No prediction & Not Significant,
gratitude,control-circumstances,1,0.03,,No prediction & Not Significant,
gratitude,control-other,1,0.06,,No prediction & Not Significant,
gratitude,control-self,1,0.07,,No prediction & Not Significant,
gratitude,emotion-focused coping potential,1,0.23**,"The greater the ability to emotionally cope and adapt to the situation, the greater the gratitude.",No prediction & Significant,
gratitude,remarkable,1,0.22**,"The greater the feeling that it was remarkable to have gotten this outcome, the greater the gratitude.",No prediction & Significant,
gratitude,uniqueness,1,0.16***,"The greater the perception of how unique the situation was, the greater the gratitude.",No prediction & Significant,
gratitude,future expectancy,1,0.39***,"The greater the expectation that the situation will get better, the greater the gratitude.",No prediction & Significant,
gratitude,attentional activity,1,0.08,,No prediction & Not Significant,
gratitude,future predictability,1,0.06,,No prediction & Not Significant,
gratitude,effort,1,-0.01,,No prediction & Not Significant,
gratitude,normative significance (internal),1,0.08,,Predicted & Not Significant,
gratitude,temporal distance,1,-0.08**,"The greater the perceived temporal distance to a remembered past situation, the less the gratitude.",No prediction & Significant,
homesickness,pleasantness,1,0.09**,"The greater the perceived pleasantness of the situation, the greater the homesickness.",No prediction & Significant,
homesickness,loss,1,0.28***,"The greater the perception that something irretrievable has been lost, the greater the homesickness.",No prediction & Significant,
homesickness,uniqueness,1,0.02,,No prediction & Not Significant,
homesickness,temporal distance,1,0.02,,No prediction & Not Significant,
hope,threat,9,-0.13,,No prediction & Not Significant,
hope,goal relevance,9,0.18***,"The greater the perceived relevance of the situation to one's goals, the greater the hope.",Predicted & Supported,
hope,control-self,9,0.39***,"The greater the perceived control over the situation, the greater the hope.",No prediction & Significant,
hope,goal conduciveness,8,0.32***,"The greater the consistency of the situation with one's goals, the greater the hope.",Predicted & Opposite,
hope,value,8,0.39***,"The greater the perceived value of the situation to one's goals and desires, the greater the hope.",Predicted & Supported,
hope,future expectancy,8,0.32***,"The greater the expectation that the situation will get better, the greater the hope.",Predicted & Supported,
hope,problem-focused coping potential,7,0.38***,"The greater the perceived ability to cope and adapt to the situation, the greater the hope.",No prediction & Significant,
hope,accountability-self,6,0.087,,No prediction & Not Significant,
hope,accountability-other,5,0.0067,,No prediction & Not Significant,
hope,attentional activity,5,0.09,,Predicted & Not Significant,
hope,certainty,4,0.27***,"The greater the understanding of the situation, the greater the hope.",Predicted & Opposite,
hope,pleasantness,3,0.32***,"The greater the perceived pleasantness of the situation, the greater the hope.",Predicted & Supported,
hope,loss,3,-0.44**,"The greater the perception that something irretrievable has been lost, the less the hope.",No prediction & Significant,
hope,severity,3,0.08,,No prediction & Not Significant,
hope,perceived obstacle,3,-0.032,,Predicted & Not Significant,
hope,attainability,3,0.12,,No prediction & Not Significant,
hope,control-other,3,0.036,,No prediction & Not Significant,
hope,effort,3,0.045,,Predicted & Not Significant,
hope,accountability-circumstances,2,-0.04,,No prediction & Not Significant,
hope,emotion-focused coping potential,2,0.24***,"The greater the ability to emotionally cope and adapt to the situation, the greater the hope.",No prediction & Significant,
hope,effortful success,2,0.51***,"The greater the perception that effort could make the situation better, the greater the hope.",No prediction & Significant,
hope,future predictability,2,0.14*,"The greater the ability to predict what is going to occur in the future, the greater the hope.",Predicted & Supported,
hope,stability,2,0.059,,No prediction & Not Significant,
hope,challenge,2,0.5***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the hope.",Predicted & Supported,
hope,harm,1,-0.19,,No prediction & Not Significant,
hope,easing of threat,1,0.56***,"The greater the perception that a threat or harm has been removed from the situation, the greater the hope.",No prediction & Significant,
hope,difficulty,1,-0.01,,No prediction & Not Significant,
hope,intentionality,1,0.43***,"The greater the perceived intentionality of the cause of the event either by oneself or others, the greater the hope.",No prediction & Significant,
hope,control-circumstances,1,0.08,,No prediction & Not Significant,
hope,novelty,1,-0.28***,"The greater the perceived novelty in the situation, the less the hope.",No prediction & Significant,
hope,expectedness,1,0.15*,"The greater the expectation of the occurrence of the situation, the greater the hope.",Predicted & Opposite,
hope,uniqueness,1,0,,No prediction & Not Significant,
hope,fairness,1,0.28*,"The greater the perceived fairness of the situation, the greater the hope.",No prediction & Significant,
hope,normative significance (internal),1,0.12*,"The greater the consistency of the situation with one's ideals, the greater the hope.",No prediction & Significant,
hope,concern for others,1,-0.14,,No prediction & Not Significant,
hope,globality,1,0.22***,"The greater the perception that the event is relevant to all aspect of one's life, the greater the hope.",No prediction & Significant,
hope,temporal distance,1,0.08**,"The greater the perceived temporal distance to a remembered past situation, the greater the hope.",No prediction & Significant,
inspiration,goal conduciveness,1,0.31*,"The greater the consistency of the situation with one's goals, the greater the inspiration.",Predicted & Supported,
interest,threat,3,-0.078,,No prediction & Not Significant,
interest,attentional activity,3,0.27***,"The greater the perceived need to take time/effort to attend to the situation further, the greater the interest.",Predicted & Supported,
interest,pleasantness,2,0.71***,"The greater the perceived pleasantness of the situation, the greater the interest.",Predicted & Supported,
